COMPANY_FKEY,bank_event
0000002034,2019-02-19
0000002178,2017-04-21
0000002852,2002-10-01
0000003116,2020-05-20
0000003662,2001-02-06
0000003941,2000-10-02
0000004457,2003-06-20
0000004515,2011-11-29
0000004707,2006-06-19
0000005588,2000-01-14
0000006071,2001-08-20
0000006201,2011-11-29
0000006260,2001-10-19
0000006885,2000-06-01
0000006948,2000-01-07
0000007431,2000-12-06
0000008109,2000-12-08
0000008302,1998-09-22
0000009779,2009-03-18
0000011860,2001-10-15
0000012105,2000-11-22
0000012180,2001-08-17
0000012570,2008-04-01
0000013156,2008-06-16
0000013239,2019-04-01
0000014195,2020-07-20
0000015678,2002-12-31
0000016104,2011-10-19
0000016357,2001-07-26
0000018172,2017-06-18
0000018530,2003-05-13
0000019161,2007-10-10
0000019411,2003-03-11
0000019731,2008-12-29
0000020520,2020-04-14
0000021438,2009-01-14
0000022551,2012-08-07
0000022872,2020-09-07
0000023304,2003-09-24
0000023341,2003-12-31
0000023778,2007-11-06
0000025354,2013-05-01
0000026780,2006-03-03
0000027425,2004-11-30
0000027613,2011-10-03
0000027904,2005-09-15
0000027960,2009-07-02
0000028761,2002-12-13
0000029693,2005-02-07
0000029806,2008-12-30
0000029834,2015-11-05
0000030117,2001-12-28
0000030197,2003-11-26
0000030302,2014-10-13
0000030419,2009-05-28
0000030841,2003-05-06
0000030908,2000-02-29
0000030927,1990-12-10
0000031079,2001-01-17
0000031235,2012-01-19
0000032272,2005-09-08
0000032878,2012-02-14
0000033073,2002-11-13
0000034115,2018-03-19
0000034296,2007-01-10
0000034339,2005-01-31
0000034471,2002-01-15
0000034616,2002-05-31
0000034879,2001-10-01
0000037525,2001-04-23
0000038079,2015-07-15
0000038242,2004-06-01
0000038570,2010-03-01
0000038792,2004-09-08
0000038984,2008-06-18
0000039135,2007-01-10
0000039547,2009-06-18
0000039743,1999-03-22
0000040511,2002-07-19
0000040518,2002-11-02
0000040675,2007-02-09
0000040730,2009-06-01
0000043300,2010-12-12
0000043960,2001-03-07
0000044471,2002-03-13
0000045791,2000-10-16
0000046012,2002-01-15
0000046043,2007-12-28
0000046109,2005-09-14
0000046216,2008-12-01
0000046601,2000-08-16
0000047129,2020-05-22
0000047254,2002-02-12
0000047968,2002-06-11
0000049534,2015-01-20
0000049588,2002-02-05
0000050957,2013-09-09
0000051103,2011-05-11
0000051124,2005-01-19
0000051939,2010-06-15
0000052617,2009-09-18
0000053025,2002-01-15
0000053453,2009-03-31
0000054193,2001-03-19
0000054291,2002-02-12
0000054681,2017-05-14
0000055604,2004-02-26
0000056151,2003-06-20
0000056824,2002-01-22
0000056871,1993-02-03
0000057055,2012-08-04
0000057187,2001-07-27
0000057201,2000-12-14
0000058361,2011-12-12
0000058592,2011-04-06
0000059401,2009-03-09
0000060064,2000-12-29
0000064247,2009-03-22
0000064892,1994-03-10
0000065202,2004-06-22
0000065384,2004-02-04
0000065914,2004-01-31
0000066849,2005-04-08
0000066895,2003-05-15
0000067199,2003-02-28
0000067494,2008-07-15
0000067532,2001-09-17
0000067727,2003-09-14
0000068619,2001-12-31
0000069623,2000-03-03
0000070412,2001-03-05
